Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color_original,color_updated,barcodes
6,19,Mai,6483,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow,yellow,6483_Mai_yellow
6,25,Mai,6495,PlantW-SoilW-FungNW,W,W,NW,3,orange,orange,6495_Mai_orange
7,12,Tri,6507,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,6507_Tri_white
3,22,Tri,6558,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,6558_Tri_blue
7,35,Mai,6685,PlantNW-SoilNW-FungNW,NW,NW,NW,2,white,blue,6685_Mai_blue
7,25,Mai,6808,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow,yellow,6808_Mai_yellow
5,29,Tri,6875,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,6875_Tri_white
6,36,Tri,6879,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,6879_Tri_white
5,10,Tri,6881,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,6881_Tri_green
7,30,Mai,6882,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,6882_Mai_blue
3,20,Tri,6885,PlantW-SoilW-FungW,W,W,W,1,red,red,6885_Tri_red
7,25,Mai,6886,PlantW-SoilW-FungWsterile,W,W,Wsterile,1,red_blue,red_blue,6886_Mai_red_blue
5,2,Tri,6887,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,6887_Tri_yellow
7,20,Tri,6894,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,6894_Tri_yellow
4,31,Mai,6899,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,6899_Mai_yellow
5,17,Tri,7120,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile,1,white,blue_blue,7120_Tri_blue_blue
5,9,Tri,7147,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,7147_Tri_pink
7,12,Tri,7574,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,7574_Tri_green
4,3,Tri,9145,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,9145_Tri_orange
3,3,Mai,9412,PlantW-SoilNW-FungW,W,NW,W,2,pink,pink,9412_Mai_pink
6,2,Tri,1184 (5226),PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,1184 (5226)_Tri_yellow
7,14,Tri,2996A1,PlantW-SoilW-FungW,W,W,W,1,red,red,2996A1_Tri_red
7,14,Tri,2996A2,PlantW-SoilW-FungW,W,W,W,1,red,red,2996A2_Tri_red
7,14,Tri,2996A3,PlantW-SoilW-FungW,W,W,W,1,red,red,2996A3_Tri_red
